iter	Accuracy	Logloss
0	0.8069584736	0.6337503113
1	0.8047138047	0.5886184913
2	0.8035914703	0.5610271309
3	0.8002244669	0.5317891433
4	0.8024691358	0.512212754
5	0.8024691358	0.4956450157
6	0.8013468013	0.4857951045
7	0.8092031425	0.4718691064
8	0.810325477	0.4628566548
9	0.810325477	0.4525254737
10	0.8114478114	0.4516627831
11	0.8125701459	0.4461809964
12	0.810325477	0.4354884205
13	0.8159371493	0.4323270024
14	0.8159371493	0.4281926232
15	0.8215488215	0.4237707279
16	0.8193041526	0.4183751683
17	0.8193041526	0.4160034713
18	0.8316498316	0.4075344189
19	0.8305274972	0.4039916222
20	0.8316498316	0.4032997827
21	0.835016835	0.3998771845
22	0.8338945006	0.3991989828
23	0.8451178451	0.3926516084
24	0.8462401796	0.391585457
25	0.8439955107	0.3879972248
26	0.8428731762	0.3873582925
27	0.8451178451	0.3856839344
28	0.8439955107	0.3845855983
29	0.8428731762	0.3840622129
30	0.8439955107	0.3815265434
31	0.8451178451	0.3802466618
32	0.8484848485	0.3800821352
33	0.8484848485	0.3793734109
34	0.847362514	0.3791160409
35	0.8496071829	0.3784871088
36	0.8484848485	0.3776715316
37	0.8484848485	0.3772954015
38	0.8507295174	0.3765810819
39	0.8507295174	0.3765295243
40	0.8507295174	0.3765295243
41	0.8507295174	0.3756596631
42	0.8529741863	0.3750889798
43	0.8518518519	0.3743035474
44	0.8529741863	0.374272624
45	0.8540965208	0.3742148779
46	0.8552188552	0.3732216054
47	0.8529741863	0.3728472973
48	0.8552188552	0.3713282223
49	0.8540965208	0.3694748954
50	0.8563411897	0.3679799827
51	0.8540965208	0.3668798208
52	0.8540965208	0.3667513305
53	0.8552188552	0.3663348324
54	0.8563411897	0.3653237987
55	0.8574635241	0.3644844973
56	0.8585858586	0.3634789939
57	0.8585858586	0.3634013307
58	0.8585858586	0.3631787109
59	0.8585858586	0.3631777307
60	0.8585858586	0.3625684617
61	0.861952862	0.3614267268
62	0.8653198653	0.3588996211
63	0.8686868687	0.3578151936
64	0.8698092031	0.3559104047
65	0.8720538721	0.3541902686
66	0.8720538721	0.3531315611
67	0.8698092031	0.3527881359
68	0.8686868687	0.3522166744
69	0.8709315376	0.35158483
70	0.8709315376	0.3510990446
71	0.8709315376	0.351078555
72	0.8698092031	0.3502200043
73	0.8686868687	0.3496342841
74	0.8686868687	0.3476037733
75	0.8709315376	0.3475499553
76	0.8709315376	0.3469395526
77	0.8698092031	0.3453941883
78	0.8698092031	0.3445946826
79	0.8709315376	0.3439378539
80	0.8686868687	0.3430616348
81	0.8709315376	0.3422182415
82	0.8686868687	0.341563297
83	0.8686868687	0.340718833
84	0.8709315376	0.3395838739
85	0.8720538721	0.3391399561
86	0.8720538721	0.3385369203
87	0.8731762065	0.3364269735
88	0.8731762065	0.3339813854
89	0.8731762065	0.3335602075
90	0.8731762065	0.3327629754
91	0.8765432099	0.331905053
92	0.8754208754	0.3308724879
93	0.8720538721	0.3291414713
94	0.874298541	0.3286916725
95	0.8754208754	0.3280138336
96	0.8776655443	0.3274753991
97	0.8776655443	0.3269540792
98	0.8754208754	0.3252144666
99	0.8776655443	0.3240427359
100	0.8776655443	0.3233244654
101	0.8776655443	0.3231930661
102	0.8776655443	0.3220426691
103	0.8776655443	0.3214471231
104	0.8776655443	0.3208847694
105	0.8765432099	0.3201857387
106	0.8765432099	0.3191940955
107	0.8754208754	0.3186273057
108	0.8776655443	0.3176862154
109	0.8765432099	0.3173073315
110	0.8776655443	0.3164735405
111	0.8787878788	0.3158791518
112	0.8787878788	0.3154008444
113	0.8799102132	0.314679449
114	0.8787878788	0.3143165665
115	0.8799102132	0.313850766
116	0.8810325477	0.3129902218
117	0.8810325477	0.3127994582
118	0.8843995511	0.3116236144
119	0.8843995511	0.3111139902
120	0.8843995511	0.3107765568
121	0.8843995511	0.310442798
122	0.8843995511	0.3093379252
123	0.8843995511	0.3091850182
124	0.8843995511	0.3091134006
125	0.8843995511	0.308194433
126	0.8843995511	0.3079368721
127	0.8843995511	0.3075591702
128	0.88664422	0.3066175008
129	0.8888888889	0.3059353519
130	0.8900112233	0.3054144218
131	0.8877665544	0.3049723341
132	0.8877665544	0.3041525217
133	0.8888888889	0.3039887721
134	0.8888888889	0.3039150685
135	0.8911335578	0.3031476038
136	0.8888888889	0.302872761
137	0.8900112233	0.3019730725
138	0.8911335578	0.3010193405
139	0.8922558923	0.3006270474
140	0.8922558923	0.3004990189
141	0.8945005612	0.2995907397
142	0.8945005612	0.2991018509
143	0.8945005612	0.2987481082
144	0.8956228956	0.2961396875
145	0.898989899	0.2959672121
146	0.898989899	0.2958929942
147	0.898989899	0.295535477
148	0.898989899	0.295355002
149	0.8956228956	0.2945685825
150	0.8956228956	0.2941909706
151	0.8956228956	0.2938387067
152	0.8933782267	0.2930620467
153	0.8956228956	0.2925238785
154	0.8967452301	0.2914252203
155	0.8967452301	0.290120989
156	0.8967452301	0.289977125
157	0.898989899	0.2880976372
158	0.8967452301	0.2875522007
159	0.898989899	0.28516806
160	0.8967452301	0.283044997
161	0.8978675645	0.2822059356
162	0.8978675645	0.2820798992
163	0.8978675645	0.28164673
164	0.9012345679	0.28021875
165	0.9023569024	0.2793242382
166	0.9057239057	0.2788329487
167	0.9057239057	0.2778164994
168	0.9057239057	0.2777269798
169	0.9068462402	0.2769184961
170	0.9068462402	0.2768104347
171	0.9068462402	0.2764644231
172	0.9068462402	0.2763050155
173	0.9057239057	0.2760622051
174	0.9057239057	0.2758643192
175	0.9057239057	0.2754896398
176	0.9023569024	0.2746706377
177	0.9046015713	0.2738201916
178	0.9046015713	0.2735477676
179	0.9046015713	0.2732963474
180	0.9057239057	0.2730782585
181	0.9068462402	0.2728595848
182	0.9079685746	0.2725509178
183	0.9068462402	0.2718300682
184	0.9068462402	0.2717891192
185	0.9079685746	0.2713695741
186	0.9090909091	0.2712493186
187	0.9090909091	0.2712061507
188	0.9090909091	0.2704830457
189	0.9090909091	0.2700808057
190	0.9090909091	0.2697857611
191	0.9079685746	0.2695020078
192	0.9079685746	0.269115732
193	0.9079685746	0.2690669468
194	0.9079685746	0.2689429911
195	0.9102132435	0.268794961
196	0.9090909091	0.2683421912
197	0.9124579125	0.2678443927
198	0.9124579125	0.2677039545
199	0.9124579125	0.2674578088
200	0.911335578	0.2672217328
201	0.9124579125	0.2670579858
202	0.911335578	0.2663652931
203	0.9124579125	0.2661997874
204	0.9124579125	0.2661686728
205	0.9124579125	0.2648845437
206	0.911335578	0.2646503418
207	0.9124579125	0.2644932384
208	0.9124579125	0.2643970398
209	0.9124579125	0.2640438434
210	0.9124579125	0.2636453423
211	0.9124579125	0.2636178167
212	0.9135802469	0.2633457899
213	0.9124579125	0.2632112163
214	0.9124579125	0.2631129869
215	0.9124579125	0.2630954364
216	0.9135802469	0.2628444563
217	0.9124579125	0.2627339056
218	0.911335578	0.2625797358
219	0.9124579125	0.2622275569
220	0.9124579125	0.2620905803
221	0.9135802469	0.2611227924
222	0.9135802469	0.2607105885
223	0.9147025814	0.2603823635
224	0.9135802469	0.260314758
225	0.9147025814	0.2598167999
226	0.9147025814	0.2586195192
227	0.9158249158	0.2585623243
228	0.9169472503	0.2577485918
229	0.9169472503	0.2576838046
230	0.9169472503	0.2573651572
231	0.9191919192	0.2541579782
232	0.9191919192	0.2533348846
233	0.9203142536	0.2530656762
234	0.9214365881	0.2526732989
235	0.9214365881	0.2524638597
236	0.9214365881	0.252405877
237	0.9214365881	0.2518599596
238	0.9214365881	0.2518258862
239	0.9214365881	0.2507175713
240	0.9214365881	0.2505477894
241	0.9214365881	0.249818221
242	0.9214365881	0.2498012939
243	0.9214365881	0.2496356019
244	0.9214365881	0.2495608216
245	0.9214365881	0.2492514425
246	0.9214365881	0.2479245302
247	0.9214365881	0.247785059
248	0.9214365881	0.2476487071
249	0.9214365881	0.2476147373
250	0.9214365881	0.2467811396
251	0.9225589226	0.2466822399
252	0.9225589226	0.2464332745
253	0.9225589226	0.2463012932
254	0.923681257	0.2460650377
255	0.9248035915	0.2455680391
256	0.9248035915	0.2455251369
257	0.9248035915	0.2445336611
258	0.9248035915	0.2444157168
259	0.9248035915	0.2443485275
260	0.9248035915	0.2442617109
261	0.9248035915	0.2442171954
262	0.9259259259	0.2440365296
263	0.9259259259	0.243957616
264	0.9248035915	0.2431965692
265	0.9248035915	0.2431283119
266	0.9248035915	0.242999994
267	0.9259259259	0.2426214607
268	0.9259259259	0.2423903403
269	0.9259259259	0.242235637
270	0.9248035915	0.2417045749
271	0.9248035915	0.2416705309
272	0.9248035915	0.2415895915
273	0.9248035915	0.2415431372
274	0.9248035915	0.2414924038
275	0.9248035915	0.2413492072
276	0.9248035915	0.2405173014
277	0.9248035915	0.2404592414
278	0.9270482604	0.2400472385
279	0.9270482604	0.2398968091
280	0.9270482604	0.2394070471
281	0.9281705948	0.2392758583
282	0.9270482604	0.2383854028
283	0.9281705948	0.2380289974
284	0.9281705948	0.237700636
285	0.9281705948	0.2374790953
286	0.9281705948	0.2370883582
287	0.9281705948	0.2361740165
288	0.9281705948	0.2360423686
289	0.9281705948	0.2358339099
290	0.9281705948	0.2355451064
291	0.9281705948	0.2354018603
292	0.9281705948	0.235353781
293	0.9281705948	0.2351856071
294	0.9292929293	0.2348307171
295	0.9292929293	0.2348001125
296	0.9281705948	0.2347501883
297	0.9270482604	0.2345263444
298	0.9281705948	0.2343360648
299	0.9281705948	0.2340510429
300	0.9281705948	0.2339456454
301	0.9281705948	0.2339116202
302	0.9292929293	0.2338563245
303	0.9281705948	0.2337795328
304	0.9270482604	0.2335573654
305	0.9270482604	0.2335394325
306	0.9292929293	0.2327796993
307	0.9292929293	0.2324361281
308	0.9292929293	0.2323424742
