iter	Passed	Remaining
0	62	31321
1	169	42144
2	267	44347
3	360	44671
4	461	45733
5	556	45850
6	664	46793
7	851	52396
8	957	52213
9	1059	51907
10	1153	51270
11	1255	51065
12	1362	51048
13	1558	54096
14	1654	53498
15	1756	53143
16	1861	52888
17	1959	52459
18	2060	52167
19	2247	53930
20	2265	51665
21	2452	53283
22	2547	52835
23	2662	52796
24	2755	52351
25	2864	52216
26	2957	51803
27	3054	51494
28	3157	51285
29	3247	50871
30	3278	49604
31	3450	50464
32	3552	50279
33	3650	50032
34	3748	49795
35	3770	48595
36	3946	49389
37	3972	48298
38	4142	48970
39	4154	47777
40	4159	46564
41	4255	46405
42	4347	46209
43	4445	46072
44	4463	45135
45	4554	44947
46	4653	44849
47	4747	44709
48	4851	44657
49	4952	44568
50	5054	44495
51	5149	44361
52	5159	43514
53	5252	43382
54	5358	43356
55	5541	43936
56	5645	43878
57	5662	43155
58	5750	42985
59	5846	42873
60	5941	42756
61	6045	42710
62	6146	42632
63	6246	42555
64	6344	42461
65	6451	42420
66	6551	42338
67	6737	42804
68	6840	42726
69	6857	42125
70	7039	42536
71	7049	41905
72	7151	41833
73	7338	42248
74	7442	42172
75	7537	42048
76	7642	41982
77	7743	41893
78	7843	41799
79	7947	41725
80	8139	42103
81	8243	42020
82	8348	41943
83	8468	41939
84	8638	42175
85	8740	42074
86	8838	41959
87	8942	41866
88	9047	41779
89	9232	42060
90	9341	41983
91	9438	41855
92	9545	41773
93	9731	42032
94	9840	41950
95	9944	41850
96	10041	41719
97	10162	41686
98	10333	41857
99	10437	41751
100	10543	41652
101	10644	41533
102	10745	41417
103	10929	41618
104	11034	41509
105	11139	41404
106	11244	41301
107	11428	41481
108	11532	41367
109	11633	41246
110	11736	41129
111	11842	41025
112	12029	41197
113	12130	41073
114	12234	40959
115	12336	40837
116	12449	40753
117	12625	40872
118	12730	40758
119	12833	40640
120	12936	40518
121	13124	40663
122	13228	40546
123	13329	40417
124	13430	40290
125	13535	40177
126	13635	40047
127	13736	39922
128	13925	40048
129	14029	39930
130	14132	39809
131	14242	39707
132	14425	39805
133	14531	39690
134	14635	39569
135	14821	39670
136	14926	39549
137	15028	39422
138	15132	39299
139	15233	39172
140	15424	39272
141	15525	39141
142	15630	39022
143	15818	39107
144	15921	38979
